vineyard_field_id,NDMI_prefire,NDVI_prefire,area_ha
VYD_00001,0.006344127893432847,0.4326791878618641,1.8352836746451995
VYD_00002,0.11673205344413513,0.5656170658114765,2.4622135129510383
VYD_00003,0.006214046374629236,0.47222357670996434,4.60839413801227
VYD_00004,0.026868888617554727,0.451139655668256,1.9344301977609364
VYD_00005,0.02892221402413086,0.44879865529783836,1.6916960693566547
VYD_00006,0.006271613989646639,0.4367710619978648,0.567219089822362
VYD_00007,0.018767967978436224,0.36598540758859455,2.4096853542765633
VYD_00008,-0.12380467368652859,0.2277344618406561,0.2688418235996939
VYD_00009,0.04349958739441595,0.5154495723352531,1.8861235973576553
VYD_00010,0.024048375130986198,0.46981328502134834,4.030095119241054
VYD_00011,-0.02454673013876944,0.31495732717321434,2.322014067453328
VYD_00012,-0.2260734176053383,0.29071326518196733,2.5549712958838913
VYD_00013,0.01853262146849232,0.47936987598091446,0.9914111032401257
VYD_00014,0.005063879372062594,0.4645318055997037,2.293538030106458
VYD_00015,0.03637840676424438,0.5233265810743567,0.5118041288885397
VYD_00016,-0.04379518365376206,0.44905244605511685,2.406220811625472
VYD_00017,0.04182290121228006,0.43535638537684257,0.1953970893874457
VYD_00018,-0.0030632052781558146,0.5320477860055879,0.5796589820298786
VYD_00019,-0.0002491968603408739,0.42910067910081445,3.585653534849885
VYD_00020,0.1021371102040628,0.5160608804741367,2.272130698828983
VYD_00021,0.03354137000734583,0.40475512502718763,0.42428925315348925
VYD_00022,0.07765478899293843,0.6065796393407059,0.19451575344343391
VYD_00023,0.05877185762221312,0.4925085020440032,0.06243907574592356
VYD_00024,0.04287919015655421,0.44723572551754365,0.34091962481112176
VYD_00025,0.06603401721548668,0.4621804635186621,0.9956941388799043
VYD_00026,0.0077456109797312,0.39016785928069864,1.6191402149176364
VYD_00027,-0.05296820960553289,0.5651442560966956,0.05990978017160636
VYD_00028,0.08294440056785779,0.5465898228323963,0.07771175948594067
VYD_00029,-0.09228455054177506,0.3162849084561765,0.26707225685855773
VYD_00030,-0.07555437759817606,0.32075152975932386,0.22987430574510873
VYD_00031,0.025384211773877795,0.4015872491000517,0.09364593985896348
VYD_00032,-0.08907855466936009,0.31376518979190704,0.5529576472046428
VYD_00033,0.08868446873918272,0.5397672147840649,2.8582197596283185
VYD_00034,0.17712479240559287,0.5907501226092218,0.2254855200781062
VYD_00035,-0.15090137291327993,0.33235290472710627,0.6810150338723354
VYD_00036,0.09417772987394701,0.6061612849120182,0.41306120991905454
VYD_00037,0.025552795683775602,0.4643995526843705,1.4956503684488072
VYD_00038,0.058726432023721346,0.4946704741712172,0.6938460849673619
VYD_00039,0.06948802540490073,0.4903818473132292,0.29108085401892997
VYD_00040,-0.14735250878854003,0.2591610938663732,0.2578040154396805
VYD_00041,0.0372320177630214,0.46712204131740565,0.4241790982042438
